Tomato,H2O2,Time
TM1,0.063328448,Before
TM1,1.395097678,After
TM2,0.062519039,Before
TM2,1.133536982,After
TM3,0.063052786,Before
TM3,3.30244,After
TM4,0.062004134,Before
TM4,1.522934579,After
TM5,0.061007908,Before
TM5,1.174429492,After
