,1,2,3,4,5,6,7,8,9,10,11,12
A,2.096,1.7498,1.0994,0.6399,0.3881,0.2477,0.1778,0.1509,0.1416,0.0471,0.0471,0.0478
B,2.2463,1.8008,1.0925,0.59,0.3605,0.2339,0.1699,0.1466,0.1411,0.047,0.0459,0.0506
C,1.8185,1.785,1.0354,0.6093,0.3579,0.2359,0.1713,0.1487,0.1416,0.0465,0.0474,0.0477
D,0.2464,0.2397,0.238,0.2248,0.2214,0.2246,0.4527,0.4855,0.4802,0.2545,0.2602,0.2528
E,0.3502,0.3944,0.3369,0.2168,0.2167,0.2201,0.2656,0.2726,0.2776,0.4524,0.456,0.448
F,0.3899,0.4084,0.3699,0.4119,0.4072,0.4105,0.2966,0.3054,0.3126,0.3013,0.299,0.3033
G,0.1797,0.1831,0.1774,0.2061,0.2095,0.27,0.2815,0.2857,0.2865,0.2923,0.2889,0.2921
H,0.3028,0.3043,0.2971,0.1433,0.1409,0.1373,0.3656,0.3567,0.3596,0.2287,0.2266,0.2282
