Abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.1249,0.1276,0.1273,,,,,,,,,
B,0.0491,0.0491,0.0505,,,,,,,,,
C,0.0452,0.0447,0.0446,,,,,,,,,
D,0.0476,0.0471,0.0467,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Trt,1,2,3,4,5,6,7,8,9,10,11,12
A,exp,exp,exp,,,,,,,,,
B,sub,sub,sub,,,,,,,,,
C,com,com,com,,,,,,,,,
D,dot,dot,dot,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
