Well,Sample,SampleType,Time,Replicate,Plant,SampLab
A01,2000,Standard,NA,1,NA,2000
A02,1500,Standard,NA,1,NA,1500
A03,1000,Standard,NA,1,NA,1000
A04,750,Standard,NA,1,NA,750
A05,500,Standard,NA,1,NA,500
A06,250,Standard,NA,1,NA,250
A07,125,Standard,NA,1,NA,125
A08,25,Standard,NA,1,NA,25
A09,0,BLANK,NA,1,NA,0
A10,,,,,,
A11,,,,,,
A12,,,,,,
B01,2000,Standard,NA,2,NA,2000
B02,1500,Standard,NA,2,NA,1500
B03,1000,Standard,NA,2,NA,1000
B04,750,Standard,NA,2,NA,750
B05,500,Standard,NA,2,NA,500
B06,250,Standard,NA,2,NA,250
B07,125,Standard,NA,2,NA,125
B08,25,Standard,NA,2,NA,25
B09,0,BLANK,NA,2,NA,0
B10,,,,,,
B11,,,,,,
B12,,,,,,
C01,2000,Standard,NA,3,NA,2000
C02,1500,Standard,NA,3,NA,1500
C03,1000,Standard,NA,3,NA,1000
C04,750,Standard,NA,3,NA,750
C05,500,Standard,NA,3,NA,500
C06,250,Standard,NA,3,NA,250
C07,125,Standard,NA,3,NA,125
C08,25,Standard,NA,3,NA,25
C09,0,BLANK,NA,3,NA,0
C10,,,,,,
C11,,,,,,
C12,,,,,,
D01,Tomato,Experiment,Before,1,1,Tom1 B
D02,Tomato,Experiment,Before,2,1,Tom1 B
D03,Tomato,Experiment,Before,3,1,Tom1 B
D04,Tomato,Experiment,After,1,1,Tom1 A
D05,Tomato,Experiment,After,2,1,Tom1 A
D06,Tomato,Experiment,After,3,1,Tom1 A
D07,Tomato,Experiment,Before,1,2,Tom2 B
D08,Tomato,Experiment,Before,2,2,Tom2 B
D09,Tomato,Experiment,Before,3,2,Tom2 B
D10,Tomato,Experiment,After,1,2,Tom2 A
D11,Tomato,Experiment,After,2,2,Tom2 A
D12,Tomato,Experiment,After,3,2,Tom2 A
E01,Tomato,Experiment,Before,1,3,Tom3 B
E02,Tomato,Experiment,Before,2,3,Tom3 B
E03,Tomato,Experiment,Before,3,3,Tom3 B
E04,Tomato,Experiment,After,1,3,Tom3 A
E05,Tomato,Experiment,After,2,3,Tom3 A
E06,Tomato,Experiment,After,3,3,Tom3 A
E07,Tomato,Experiment,Before,1,4,Tom4 B
E08,Tomato,Experiment,Before,2,4,Tom4 B
E09,Tomato,Experiment,Before,3,4,Tom4 B
E10,Tomato,Experiment,After,1,4,Tom4 A
E11,Tomato,Experiment,After,2,4,Tom4 A
E12,Tomato,Experiment,After,3,4,Tom4 A
F01,Tomato,Experiment,Before,1,5,Tom5 B
F02,Tomato,Experiment,Before,2,5,Tom5 B
F03,Tomato,Experiment,Before,3,5,Tom5 B
F04,Tomato,Experiment,After,1,5,Tom5 A
F05,Tomato,Experiment,After,2,5,Tom5 A
F06,Tomato,Experiment,After,3,5,Tom5 A
F07,M_poly,Experiment,Before,1,1,MP1 B
F08,M_poly,Experiment,Before,2,1,MP1 B
F09,M_poly,Experiment,Before,3,1,MP1 B
F10,M_poly,Experiment,After,1,1,MP1 A
F11,M_poly,Experiment,After,2,1,MP1 A
F12,M_poly,Experiment,After,3,1,MP1 A
G01,M_poly,Experiment,Before,1,2,MP2 B
G02,M_poly,Experiment,Before,2,2,MP2 B
G03,M_poly,Experiment,Before,3,2,MP2 B
G04,M_poly,Experiment,After,1,2,MP2 A
G05,M_poly,Experiment,After,2,2,MP2 A
G06,M_poly,Experiment,After,3,2,MP2 A
G07,M_poly,Experiment,Before,1,3,MP3 B
G08,M_poly,Experiment,Before,2,3,MP3 B
G09,M_poly,Experiment,Before,3,3,MP3 B
G10,M_poly,Experiment,After,1,3,MP3 A
G11,M_poly,Experiment,After,2,3,MP3 A
G12,M_poly,Experiment,After,3,3,MP3 A
H01,M_poly,Experiment,Before,1,4,MP4 B
H02,M_poly,Experiment,Before,2,4,MP4 B
H03,M_poly,Experiment,Before,3,4,MP4 B
H04,M_poly,Experiment,After,1,4,MP4 A
H05,M_poly,Experiment,After,2,4,MP4 A
H06,M_poly,Experiment,After,3,4,MP4 A
H07,M_poly,Experiment,Before,1,5,MP5 B
H08,M_poly,Experiment,Before,2,5,MP5 B
H09,M_poly,Experiment,Before,3,5,MP5 B
H10,M_poly,Experiment,After,1,5,MP5 A
H11,M_poly,Experiment,After,2,5,MP5 A
H12,M_poly,Experiment,After,3,5,MP5 A
